Vorname,Anzahl,Geschlecht
Leon,107,m
Maximilian,105,m
Emilia,89,w
Paul,89,m
Noah,83,m
Anton,80,m
Jakob,80,m
Felix,78,m
Leo,74,m
Elias,72,m
Emma,71,w
Jonas,70,m
Mia,70,w
Mila,67,w
Marie,66,w
Liam,65,m
Lea,63,w
Charlotte,61,w
Luca,61,m
David,60,m
Ludwig,60,m
Theodor,58,m
Emil,57,m
Lina,57,w
Sophia,57,w
Lukas,56,m
Valentin,56,m
Clara,55,w
Theo,54,m
Antonia,53,w
Levi,53,m
Luisa,53,w
Sofia,53,w
Olivia,52,w
Sophie,52,w
Anna,51,w
Emily,51,w
Julian,51,m
Lara,51,w
Luis,50,m
Oskar,50,m
Amelie,48,w
Matteo,48,m
Jonathan,47,m
Lena,47,w
Louis,47,m
Moritz,47,m
Alexander,46,m
Elena,46,w
Nora,46,w
Leonie,45,w
Vincent,45,m
Ella,44,w
Paula,44,w
Ben,43,m
Benjamin,43,m
Samuel,43,m
Hanna,42,w
Helena,42,w
Maria,40,w
Henry,39,m
Ida,39,w
Johanna,39,w
Frida,38,w
Mathilda,38,w
Laura,36,w
Luna,36,w
Valentina,36,w
Alma,35,w
Leni,35,w
Luka,35,m
Daniel,34,m
Leonardo,34,m
Ferdinand,33,m
Rafael,33,m
Carlo,32,m
Konstantin,32,m
Adam,31,m
Cleo,31,w
Hannah,31,w
Lia,31,w
Linus,31,m
Amalia,30,w
Finn,30,m
Gabriel,30,m
Isabella,30,w
Marlene,30,w
Maya,30,w
Ava,29,w
Elisa,29,w
Matilda,29,w
Philipp,29,m
Romy,29,w
Sara,29,w
Max,28,m
Raphael,28,m
Leopold,27,m
Victoria,27,w
Julia,26,w
Leonard,26,m
Milan,26,m
Nina,26,w
Zoe,26,w
Malik,25,m
Toni,25,m
Carl,24,m
Jonah,24,m
Kian,24,m
Louisa,24,w
Milo,24,m
Niklas,24,m
Adrian,23,m
Alina,23,w
Elisabeth,23,w
Fabian,23,m
Kilian,23,m
Paulina,23,w
Carlotta,22,w
Elina,22,w
Emilio,22,m
Frieda,22,w
Hana,22,w
Henri,22,m
Maja,22,w
Mateo,22,m
Ada,21,w
Joshua,21,m
Julius,21,m
Livia,21,w
Nicolas,21,m
Sarah,21,w
Ayla,20,w
Hamza,20,m
Lotta,20,w
Amar,19,m
Aras,19,m
Aurelia,19,w
Benedikt,19,m
Carla,19,w
Franz,19,m
Magdalena,19,w
Rosalie,19,w
Simon,19,m
Tim,19,m
Xaver,19,m
Aurora,18,w
Dua,18,w
Johann,18,m
Karl,18,m
Lorenz,18,m
Michael,18,m
Mira,18,w
Noel,18,m
Stella,18,w
Arthur,17,m
Lilly,17,w
Linda,17,w
Lisa,17,w
Luise,17,w
Mara,17,w
Rosa,17,w
Sebastian,17,m
Thea,17,w
Viktoria,17,w
Alba,16,w
Alva,16,w
Chiara,16,w
Fiona,16,w
Ilyas,16,m
Levin,16,m
Malia,16,w
Marlon,16,m
Aaron,15,m
Anastasia,15,w
Elian,15,m
Filip,15,m
Freya,15,w
Jan,15,m
Jana,15,w
Jona,15,m
Josefine,15,w
Josephine,15,w
Klara,15,w
Mohammad,15,m
Oscar,15,m
Philippa,15,w
Zayn,15,m
Caspar,14,m
Constantin,14,m
Eva,14,w
Fritz,14,m
Ivan,14,m
Liya,14,w
Melina,14,w
Mina,14,w
Nico,14,m
Pauline,14,w
Rayan,14,m
Timo,14,m
Alice,13,w
Amina,13,w
Amira,13,w
Arian,13,m
Diana,13,w
Dominik,13,m
Ema,13,w
Flora,13,w
Florian,13,m
Franziska,13,w
Frederik,13,m
Jacob,13,m
Jasmin,13,w
Johannes,13,m
Liv,13,w
Martin,13,m
Neo,13,m
Oliver,13,m
Tara,13,w
Theresa,13,w
Viola,13,w
Amir,12,m
Ayaz,12,m
Elia,12,m
Enno,12,m
Jannis,12,m
Lucas,12,m
Malea,12,w
Malina,12,w
Maxim,12,m
Miriam,12,w
Nathan,12,m
Tobias,12,m
Tom,12,m
Victor,12,m
Ali,11,m
Alisa,11,w
Amelia,11,w
Bilal,11,m
Elif,11,w
Emanuel,11,m
Felicia,11,w
Isabel,11,w
Jasper,11,m
Josef,11,m
Malou,11,w
Meryem,11,w
Mika,11,m
Milena,11,w
Quirin,11,m
Thomas,11,m
Valeria,11,w
Valerie,11,w
Aliya,10,w
Antonio,10,m
Dalia,10,w
Elise,10,w
Felicitas,10,w
Hannes,10,m
Ibrahim,10,m
Isa,10,m
Joel,10,m
Karla,10,w
Laurin,10,m
Lennard,10,m
Lian,10,m
Lio,10,m
Lorena,10,w
Luan,10,m
Lucia,10,w
Mariam,10,w
Mark,10,m
Matti,10,m
Mikail,10,m
Muhammad,10,m
Musa,10,m
Nele,10,w
Noa,10,m
Noemi,10,w
Pia,10,w
Roman,10,m
Ronja,10,w
Abdullah,9,m
Adem,9,m
Alex,9,m
Annika,9,w
Aron,9,m
Benno,9,m
Esma,9,w
Finja,9,w
Friedrich,9,m
Fritzi,9,w
Heidi,9,w
Juna,9,w
Lazar,9,m
Leander,9,m
Leonhard,9,m
Liana,9,w
Lilli,9,w
Lola,9,w
Marija,9,w
Marta,9,w
Martha,9,w
Muhammed,9,m
Nael,9,m
Omar,9,m
Rita,9,w
Stefan,9,m
Teo,9,m
Vito,9,m
Ahmed,8,m
Alexandra,8,w
Alicia,8,w
Asya,8,w
August,8,m
Bruno,8,m
Carolina,8,w
Dani,8,m
Diego,8,m
Ela,8,w
Eliana,8,w
Elio,8,m
Emir,8,m
Gustav,8,m
Hira,8,w
Ina,8,w
Kaan,8,m
Katharina,8,w
Laurenz,8,m
Leano,8,m
Leyla,8,w
Lily,8,w
Lion,8,m
Lionel,8,m
Lou,8,w
Louise,8,w
Luana,8,w
Marko,8,m
Marla,8,w
Matthias,8,m
Melissa,8,w
Miran,8,m
Mona,8,w
Niko,8,m
Nino,8,m
Noar,8,m
Otto,8,m
Pablo,8,m
Philip,8,m
Robin,8,m
Tilda,8,w
Una,8,w
Vera,8,w
Yara,8,w
Aisha,7,w
Alena,7,w
Alia,7,w
Amélie,7,w
Ana,7,w
Andrea,7,w
Andrej,7,m
Arda,7,m
Aria,7,w
Ariana,7,w
Can,7,m
Christina,7,w
Cosima,7,w
Cosmo,7,m
Eleni,7,w
Elin,7,w
Enes,7,m
Eric,7,m
Erik,7,m
Fatima,7,w
Giulia,7,w
Harun,7,m
Hugo,7,m
Imran,7,m
Iris,7,w
Kira,7,w
Lana,7,w
Leandro,7,m
Leonora,7,w
Lino,7,m
Lotte,7,w
Mads,7,m
Mahir,7,m
Mariella,7,w
Maryam,7,w
Mathea,7,w
Mats,7,m
Merle,7,w
Nika,7,w
Ophelia,7,w
Robert,7,m
Sami,7,m
Tamara,7,w
Valentino,7,m
Veronika,7,w
Viktor,7,m
Zain,7,m
Zeynep,7,w
Ahmad,6,m
Alan,6,m
Alessia,6,w
Anouk,6,w
Artur,6,m
Christian,6,m
Daria,6,w
Eleonora,6,w
Eliah,6,m
Ellie,6,w
Emilie,6,w
Emin,6,m
Florentin,6,m
Gabriela,6,w
Helen,6,w
Idris,6,m
Inaya,6,w
Iva,6,w
Jakub,6,m
Karlo,6,m
Kiara,6,w
Kiyan,6,m
Korbinian,6,m
Lasse,6,m
Leandra,6,w
Leia,6,w
Lilia,6,w
Liyana,6,w
Lorenzo,6,m
Lucía,6,w
Madeleine,6,w
Malek,6,m
Manuel,6,m
Marin,6,m
Marina,6,w
Matej,6,m
Mayla,6,w
Mohamed,6,m
Mohammed,6,m
Nelio,6,m
Nikola,6,m
Ole,6,m
Ömer,6,m
Osman,6,m
Penelope,6,w
Ruby,6,w
Selin,6,w
Selma,6,w
Sena,6,w
Sofija,6,w
Tiago,6,m
William,6,m
Wilma,6,w
Yasin,6,m
Yusuf,6,m
Adian,5,m
Adriana,5,w
Alexis,5,m
Amadeus,5,m
Amaya,5,w
Amila,5,w
Amra,5,w
Andreas,5,m
Aren,5,m
Ari,5,m
Armin,5,m
Aslan,5,m
Athena,5,w
Aya,5,w
Ayra,5,w
Azra,5,w
Bastian,5,m
Bo,5,m
Bogdan,5,m
Carolin,5,w
Casper,5,m
Cecilia,5,w
Celine,5,w
Céline,5,w
Charlie,5,m
Clemens,5,m
Damian,5,m
Darian,5,m
Dominic,5,m
Dorian,5,m
Eda,5,w
Edgar,5,m
Elsa,5,w
Emilian,5,m
Emmy,5,w
Enzo,5,m
Franka,5,w
Frederick,5,m
Fridolin,5,m
Gaia,5,w
Georgios,5,m
Gloria,5,w
Greta,5,w
Helene,5,w
Henrik,5,m
Ian,5,m
Ismail,5,m
Ivano,5,m
James,5,m
Jara,5,w
Jon,5,m
Josip,5,m
Juli,5,w
Karan,5,m
Karim,5,m
Kaspar,5,m
Kaya,5,w
Kristian,5,m
Laetitia,5,w
Lars,5,m
Leonidas,5,m
Lilith,5,w
Magnus,5,m
Maksim,5,m
Mathias,5,m
Matilde,5,w
Mattea,5,w
Mattia,5,m
Medina,5,w
Melisa,5,w
Mert,5,m
Mihajlo,5,m
Mihra,5,w
Mio,5,m
Miray,5,w
Nefeli,5,w
Nicolás,5,m
Nila,5,w
Nola,5,w
Nura,5,w
Patrick,5,m
Peter,5,m
Philomena,5,w
Sam,5,m
Selina,5,w
Talia,5,w
Teodor,5,m
Till,5,m
Tino,5,m
Troi,5,m
Vivienne,5,w
Willi,5,m
Youssef,5,m
Zahra,5,w
Zoé,5,w
Aadhvika,4 oder weniger,w
Aadhya,4 oder weniger,w
Aadi,4 oder weniger,m
Aadishree,4 oder weniger,w
Aadith,4 oder weniger,m
Aaditri,4 oder weniger,w
Aadvik,4 oder weniger,m
Aadya,4 oder weniger,w
Aadyashri,4 oder weniger,w
Aahil,4 oder weniger,m
Aaliya,4 oder weniger,w
Aaliyah,4 oder weniger,w
Aaliyan,4 oder weniger,m
Aarav,4 oder weniger,m
Aaren,4 oder weniger,m
Aarna,4 oder weniger,w
Aarvi,4 oder weniger,w
Aarya,4 oder weniger,w
Aashvi,4 oder weniger,w
Aava,4 oder weniger,w
Aayra,4 oder weniger,w
Abas,4 oder weniger,m
Abbas,4 oder weniger,m
Abby,4 oder weniger,w
Abby-Luna,4 oder weniger,w
Abd,4 oder weniger,m
Abdalla,4 oder weniger,m
Abdimuheymin,4 oder weniger,m
Abdirahman,4 oder weniger,m
Abdollah,4 oder weniger,m
Abdul,4 oder weniger,m
Abdulahi,4 oder weniger,m
Abdulaziz,4 oder weniger,m
Abdulhamid,4 oder weniger,m
Abdülhamid,4 oder weniger,m
Abdullai,4 oder weniger,m
Abdulmahjid,4 oder weniger,w
Abdurrahman,4 oder weniger,m
Abeer,4 oder weniger,m
Abenezer,4 oder weniger,m
Abhiram,4 oder weniger,m
Abigail,4 oder weniger,w
Abiha,4 oder weniger,w
Abir,4 oder weniger,w
Abubakar,4 oder weniger,m
Abylai,4 oder weniger,m
Achille,4 oder weniger,m
Achilleas,4 oder weniger,m
Adanna,4 oder weniger,w
Adar,4 oder weniger,w
Addie,4 oder weniger,w
Adea,4 oder weniger,w
Adél,4 oder weniger,w
Adele,4 oder weniger,w
Adelina,4 oder weniger,w
Adeline,4 oder weniger,w
Adetoke,4 oder weniger,w
Adham,4 oder weniger,m
Adhiran,4 oder weniger,m
Adi,4 oder weniger,m
Adiar,4 oder weniger,m
Adile,4 oder weniger,w
Adin,4 oder weniger,m
Adina,4 oder weniger,w
Adis,4 oder weniger,m
Adja,4 oder weniger,w
Adla,4 oder weniger,w
Adna,4 oder weniger,w
Adnan,4 oder weniger,m
Adni,4 oder weniger,m
Adonai,4 oder weniger,m
Adonay,4 oder weniger,m
Adrián,4 oder weniger,m
Adriano,4 oder weniger,m
Adriel,4 oder weniger,m
Adrien,4 oder weniger,m
Adrijan,4 oder weniger,m
Advaith,4 oder weniger,m
Advik,4 oder weniger,m
Aelia,4 oder weniger,w
Aëlynn,4 oder weniger,w
Aemilia,4 oder weniger,w
Aeneas,4 oder weniger,m
Afet,4 oder weniger,m
Afnaan,4 oder weniger,w
Afnane,4 oder weniger,w
Afra,4 oder weniger,w
Agapi,4 oder weniger,w
Agasthya,4 oder weniger,m
Agastya,4 oder weniger,m
Aggelos,4 oder weniger,m
Agnes,4 oder weniger,w
Agni,4 oder weniger,m
Agustín,4 oder weniger,m
Ahmet,4 oder weniger,m
Ahniia,4 oder weniger,w
Ahsab,4 oder weniger,m
Ahu,4 oder weniger,w
Ahura,4 oder weniger,m
Ahyan,4 oder weniger,m
Aïcha,4 oder weniger,w
Aid,4 oder weniger,m
Aiden,4 oder weniger,m
Ailee,4 oder weniger,w
Ailey,4 oder weniger,w
